area,year,month,component,raw_value,grid_count,station_count,reference_mean,reference_sd,reference_n,standardized_value
China,1981,1,P,49.29914746312389,159,432,12.242224214229152,9.400771677764833,28,3.94190227346374
China,1981,1,T10,13.729058743378351,162,429,9.70360622455103,4.3563745017091655,30,0.9240372968963039
China,1981,1,T90,5.7246177910208695,162,429,9.852991445504177,4.1521415677338265,30,-0.9942757459342864
China,1981,1,W,10.386483877563498,164,531,6.44686958033387,1.6016492913072156,30,2.459723435468347
China,1981,2,P,69.83521185642783,161,431,18.73251224484664,16.44328126164143,28,3.107816426566429
China,1981,2,T10,10.107090577788902,161,429,9.70610176850708,5.948926725335287,30,0.06740523590147629
China,1981,2,T90,5.451946455674881,161,429,9.811244181790673,6.304877074372981,30,-0.6914167674790589
China,1981,2,W,11.393510920128286,163,513,6.583815186650408,2.0134284938897924,30,2.388808814454546
China,1981,3,P,73.24013226659493,161,431,26.02240648714512,18.725733414594213,29,2.5215421331721983
China,1981,3,T10,4.70266008922736,163,429,9.422115794177154,4.502532242974637,30,-1.0481781029583133
China,1981,3,T90,9.81810444965124,163,429,9.681605629229447,4.043685807033035,30,0.03375604014149335
China,1981,3,W,9.294928444170404,165,539,6.777276803254618,1.7312767561129296,30,1.4542167403485673
China,1981,4,P,116.10813351029262,160,412,39.29509194265129,32.578932438021404,29,2.357751952546987
China,1981,4,T10,4.684600603234421,163,428,9.536322150857266,3.9332863804553013,30,-1.2335032535976262
China,1981,4,T90,9.589841313629197,163,428,9.619481786497515,4.788528492624833,30,-0.006189891720174368
China,1981,4,W,9.236180354722512,165,518,6.809223524627466,2.128858244515786,30,1.1400274472700098
China,1981,5,P,84.43583845051542,160,412,48.363977508824284,18.83850877186769,29,1.9147938607305641
China,1981,5,T10,14.126102671432246,163,415,9.592185264739266,2.5521546325846884,30,1.7765057605860137
China,1981,5,T90,8.457097425450238,163,415,9.6100150541659,2.7564820217057724,30,-0.4182569012375463
China,1981,5,W,12.701556970005793,165,513,6.6720872532147855,2.3437793782558045,30,2.572541499737071
