province,year,month,component,raw_value,grid_count,station_count,reference_mean,reference_sd,reference_n,standardized_value
Shanghai,1981,1,P,16.0,1,1,39.38999999999999,48.922251072492564,20,-0.4781055549823514
Shanghai,1981,1,T10,16.129032258064516,1,1,8.899641577060931,5.896417938445674,30,1.2260648340184124
Shanghai,1981,1,T90,1.6129032258064515,1,1,9.115591397849462,6.143251874117991,30,-1.221289363643453
Shanghai,1981,1,W,0.0,1,1,7.799283154121864,6.961717678344725,30,-1.1203101755163798
Shanghai,1981,2,P,22.0,1,1,39.902380952380945,48.77072813586542,21,-0.3670722508490855
Shanghai,1981,2,T10,10.714285714285714,1,1,9.654146141215106,8.264037296390415,30,0.12828349329130662
Shanghai,1981,2,T90,5.357142857142857,1,1,8.115079365079364,7.7143710896819595,30,-0.35750633147856625
Shanghai,1981,2,W,0.0,1,1,7.627257799671593,6.383951318326669,30,-1.1947550066329162
Shanghai,1981,3,P,42.5,1,1,53.177499999999995,34.92046131926096,20,-0.3057662927869353
Shanghai,1981,3,T10,0.0,1,1,9.427141268075639,7.2382731283761785,29,-1.3024019819200312
Shanghai,1981,3,T90,8.064516129032258,1,1,8.565072302558399,7.410686141913625,29,-0.06754518595721885
Shanghai,1981,3,W,0.0,1,1,7.82350760103819,5.3829884913632045,29,-1.4533762451082153
Shanghai,1981,4,P,78.09999999999998,1,1,42.80714285714285,28.80553140380823,21,1.225211111300354
Shanghai,1981,4,T10,1.6666666666666667,1,1,9.555555555555555,7.579007720321399,30,-1.0408867730450535
Shanghai,1981,4,T90,0.0,1,1,7.75,7.785165142519219,30,-0.9954830576005175
Shanghai,1981,4,W,6.666666666666667,1,1,8.425925925925927,5.645718967605428,30,-0.31160942819749166
Shanghai,1981,5,P,32.1,1,1,53.152380952380945,29.39087757803867,21,-0.716289634308559
Shanghai,1981,5,T10,14.516129032258064,1,1,9.758064516129032,6.605523025717816,30,0.7203160896728503
Shanghai,1981,5,T90,9.677419354838708,1,1,8.25268817204301,6.217818059215379,30,0.2291368401627827
Shanghai,1981,5,W,0.0,1,1,8.297491039426523,6.163962798294556,30,-1.3461293182564746
Shanghai,1981,6,P,176.6,1,1,78.63499999999999,43.958881639550384,20,2.2285598801917565
