area,year,month,CACI,component_count,T90,T10,P,D,W
China,1981,1,1.1208281665253743,4,-0.9942757459342864,0.9240372968963039,3.94190227346374,,2.459723435468347
China,1981,2,1.18445080941011,4,-0.6914167674790589,0.06740523590147629,3.107816426566429,,2.388808814454546
China,1981,3,1.264423254155143,4,0.03375604014149335,-1.0481781029583133,2.5215421331721983,,1.4542167403485673
China,1981,4,1.181273190423612,4,-0.006189891720174368,-1.2335032535976262,2.357751952546987,,1.1400274472700098
China,1981,5,0.5731431746610188,4,-0.4182569012375463,1.7765057605860137,1.9147938607305641,,2.572541499737071
China,1981,6,0.720763893438956,4,-0.17637649003120331,0.07450350808594416,0.8508439375795092,,2.2830916342934624
China,1981,7,1.2525084889611842,4,0.1341346659793174,-0.6697131848445776,1.6626387105254667,,2.5435473944953744
China,1981,8,0.7407327225751609,4,-0.0917153308861253,-0.08444490358174163,0.967671495536167,,2.00252982206886
China,1981,9,0.6059481492958749,4,-0.49263310459614196,1.3113069777310653,1.5177076431744705,,2.7100250363362366
China,1981,10,0.1933559170607314,4,-1.270151025967057,2.4738378783446393,1.1461523938248865,,3.371260178729736
China,1981,11,-0.1099841549741225,4,-1.301297477727406,2.5179991376706434,1.0767569373987718,,2.302603058102788
China,1981,12,-0.3908305148687677,5,-1.2728969667052639,0.8604345989681708,1.0846948337573417,-2.4428227059754115,1.5373068635476659
China,1982,1,0.32314341466415164,4,0.7447602362772203,-0.947659686315203,,-2.097200055579457,1.69735379164364
China,1982,2,-0.5122363895414173,5,-0.8441503900341535,-0.0766974158968645,-0.22948832300381475,-2.1245521254303763,0.5603114748643934
China,1982,3,-0.2170376469088513,5,-0.5722695421438767,-0.08092930107935208,-0.5357731713104101,-2.143176544993627,2.085101722824305
China,1982,4,-0.7002560586871416,5,-0.8652453271128427,0.6020746244742865,-0.46540840806644185,-2.148135622150561,0.5795836883684242
China,1982,5,-0.13678683545512432,5,0.30225694513854473,0.740824308959731,-0.8096422119960255,-2.1333315830014423,2.6976069815430326
China,1982,6,-0.9020497820813432,5,-1.2048887809752487,1.844873810445362,-0.5557954485755632,-2.0921222516454008,1.1874313812348585
China,1982,7,-0.4502913385604165,5,-0.8365707489532459,1.154965535857805,-0.5840521696287199,-2.018664358936089,2.3427961205737775
China,1982,8,-0.15491554335222252,5,-0.4203396667141404,0.2446356552269002,-0.39126894697332953,-1.909849312452371,2.1915158646056287
China,1982,9,-0.4825037120930272,5,-1.305262877693979,1.2314278013146023,-0.5394102766261277,-1.7670863942702453,2.4306687894398173
China,1982,10,-0.12153772164751202,5,0.5808767107662863,-0.48867817129150004,-0.5075471629706161,-1.5968134029729764,0.4271170756482459
China,1982,11,-0.2606371138643599,5,-0.9074450673104996,-0.054815981096956304,0.21404176076849687,-1.4091318838279505,0.7445336399511976
China,1982,12,-0.1469189125434786,5,-1.5899699137979322,0.9866616834227189,0.009531211571981085,-0.7558891757779366,2.588394998709213
China,1983,1,-0.18517538579083284,5,-0.29882682312784137,1.4135637579441267,0.02363925521202446,-0.5915484162552314,1.3544228131610108
