province,season_year,season,component,raw_value,month_count,grid_count,station_count,reference_mean,reference_sd,reference_n,standardized_value
Shanghai,1981,Autumn,P,140.70000000000002,3,1,1,52.56349206349206,31.398938250444527,21,2.806990071877993
Shanghai,1981,Autumn,T10,22.455197132616487,3,1,1,9.189531578296874,4.940263472418769,30,2.6852141851099898
Shanghai,1981,Autumn,T90,1.093189964157706,3,1,1,7.936421126354386,4.878982378800262,30,-1.402593949084814
Shanghai,1981,Autumn,W,9.92831541218638,3,1,1,7.233222098628105,4.345927551386616,30,0.620142255408371
Shanghai,1981,Spring,P,50.9,3,1,1,48.063333333333325,17.81917397387183,20,0.15919181612043656
Shanghai,1981,Spring,T10,5.39426523297491,3,1,1,9.483376591274256,5.477679322864127,29,-0.7465043346424417
Shanghai,1981,Spring,T90,5.913978494623656,3,1,1,8.373192436040044,4.94839763295045,29,-0.4969717722441998
Shanghai,1981,Spring,W,2.2222222222222223,3,1,1,8.336217196061467,3.9998785761321622,29,-1.5285451439256963
Shanghai,1981,Summer,P,116.89999999999999,3,1,1,82.57719298245613,25.722251960546185,19,1.3343624450219038
Shanghai,1981,Summer,T10,7.670250896057348,3,1,1,9.238351254480285,6.835730937327182,30,-0.22939761274981896
Shanghai,1981,Summer,T90,5.483870967741936,3,1,1,7.207885304659499,4.985926760684632,30,-0.34577610535956477
Shanghai,1981,Summer,W,7.670250896057348,3,1,1,6.994140069408886,4.073343903332617,30,0.16598422394320778
Shanghai,1982,Autumn,D,34.0,3,1,1,27.75,5.876625070754661,16,1.0635356050028544
Shanghai,1982,Autumn,P,45.26666666666667,3,1,1,52.56349206349206,31.398938250444527,21,-0.23239083241045855
Shanghai,1982,Autumn,T10,6.111111111111111,3,1,1,9.189531578296874,4.940263472418769,30,-0.6231288036300944
Shanghai,1982,Autumn,T90,4.874551971326166,3,1,1,7.936421126354386,4.878982378800262,30,-0.6275630689572467
Shanghai,1982,Autumn,W,5.483870967741936,3,1,1,7.233222098628105,4.345927551386616,30,-0.4025265286182738
Shanghai,1982,Spring,D,25.0,3,1,1,28.5,5.994210169451481,16,-0.5838967772330009
Shanghai,1982,Spring,P,92.83333333333333,3,1,1,48.063333333333325,17.81917397387183,20,2.5124621413790584
Shanghai,1982,Spring,T10,7.114695340501792,3,1,1,9.483376591274256,5.477679322864127,29,-0.43242422769902966
Shanghai,1982,Spring,T90,6.487455197132616,3,1,1,8.373192436040044,4.94839763295045,29,-0.38108037768643704
Shanghai,1982,Spring,W,5.376344086021504,3,1,1,8.336217196061467,3.9998785761321622,29,-0.739990740644464
Shanghai,1982,Summer,D,29.5,3,1,1,28.125,5.515445484173412,16,0.2492998986111941
Shanghai,1982,Summer,P,68.53333333333333,3,1,1,82.57719298245613,25.722251960546185,19,-0.5459809534042286
Shanghai,1982,Summer,T10,20.089605734767023,3,1,1,9.238351254480285,6.835730937327182,30,1.5874314802287484
Shanghai,1982,Summer,T90,0.0,3,1,1,7.207885304659499,4.985926760684632,30,-1.4456460454845839
Shanghai,1982,Summer,W,7.598566308243728,3,1,1,6.994140069408886,4.073343903332617,30,0.148385761963366
Shanghai,1982,Winter,D,20.5,3,1,1,28.875,7.146045915205289,16,-1.1719767965917702
Shanghai,1982,Winter,T10,9.907834101382488,3,1,1,9.435624664758567,4.847891878127166,29,0.0974051089617832
Shanghai,1982,Winter,T90,3.2258064516129026,3,1,1,8.614554090082454,4.084451839807365,29,-1.3193319078830665
Shanghai,1982,Winter,W,2.150537634408602,3,1,1,7.846996571633141,4.608087143025396,29,-1.236187329019256
Shanghai,1983,Autumn,D,33.666666666666664,3,1,1,27.75,5.876625070754661,16,1.0068137060693685
Shanghai,1983,Autumn,P,83.03333333333333,3,1,1,52.56349206349206,31.398938250444527,21,0.9704099236352329
Shanghai,1983,Autumn,T10,3.8351254480286734,3,1,1,9.189531578296874,4.940263472418769,30,-1.0838300750884176
Shanghai,1983,Autumn,T90,2.7240143369175627,3,1,1,7.936421126354386,4.878982378800262,30,-1.0683389249539677
Shanghai,1983,Autumn,W,2.2222222222222223,3,1,1,7.233222098628105,4.345927551386616,30,-1.1530334588313762
Shanghai,1983,Spring,D,35.666666666666664,3,1,1,28.5,5.994210169451481,16,1.195598162905668
Shanghai,1983,Spring,P,50.833333333333336,3,1,1,48.063333333333325,17.81917397387183,20,0.15545052784498586
Shanghai,1983,Spring,T10,7.670250896057347,3,1,1,9.483376591274256,5.477679322864127,29,-0.33100252649855305
