area,season_year,season,CACI,component_count,T90,T10,P,D,W
China,1981,Spring,1.2995715169881423,4,-0.11322800363519231,-0.6410215446762715,2.678026917127986,,1.9924656097835043
China,1981,Summer,0.9888053735232551,4,-0.03497597383845824,-0.27441565802023077,1.2135243744726394,,2.502257435438609
China,1981,Autumn,0.16824981457333332,4,-1.2752946395110103,2.807513646405745,1.5996110855267287,,3.1561964586833597
China,1982,Winter,-0.32754314492372666,4,-0.6876604930416061,-0.007590934822079654,,-2.366293157240755,1.7361901357653748
China,1982,Spring,-0.3803388905938328,5,-0.6087732372188032,0.4955912841947158,-0.6765663255711876,-2.1481356221505608,2.0273720161661033
China,1982,Summer,-0.5642459795073589,5,-0.9140973682103986,1.3716361933906511,-0.5600183425051384,-2.0186643589360886,2.043186365505482
China,1982,Autumn,-0.3107632051301203,5,-0.7436785415460424,0.1592170585152912,-0.24477826675006098,-1.5968134029729764,1.1906712441337697
China,1983,Winter,-0.26608731490159965,5,-1.4163226142541245,1.6988794116467347,0.3567454248755888,-0.6884768238406067,2.116496850357879
China,1983,Spring,-0.04697473498920379,5,-0.9295968218601977,0.7813963939730146,-0.48376932508133547,-0.32001278583362414,2.279901651802153
China,1983,Summer,-0.12207386888198082,5,-0.711544770437331,1.2276061742165425,-0.8361973399933157,0.08391723759595143,2.0810617026413336
China,1983,Autumn,0.3427267185322533,5,-0.421613514208252,-0.9004137355365855,-0.2594518031627088,0.538122482709784,0.9561626917858578
China,1984,Winter,-0.5905012309459184,5,-1.7006708257041183,2.315825046529844,-1.0345658410888678,0.8015520702900724,1.297003488303165
China,1984,Spring,-0.17292665352740375,5,-1.5252542075533775,0.34751195312210426,-0.6950930933890358,0.8599728312048258,0.8432531552226727
China,1984,Summer,-0.03534431310432007,5,-1.2051263452482708,1.2146410875930365,-0.7189146798216473,0.9365735092854774,2.0253870378558765
China,1984,Autumn,0.034699003470087385,5,-0.9474713047985174,0.20920561272608557,-0.5542994648597838,0.8983678977516749,0.9861035019831489
China,1985,Winter,-0.32641364879739176,5,-0.8954099430673835,2.3442090286972275,-0.4333191909489995,0.572248595575708,1.4686213231509442
China,1985,Spring,-0.2756714283675171,5,-0.8729019684957406,1.3706027043703655,-0.7254801562696329,0.5032295619762037,1.0873981253219493
China,1985,Summer,-0.3172191058773036,5,-1.515917471260364,0.01411935907511975,-0.7851785708028062,0.3283526006504126,0.4007672711013591
China,1985,Autumn,-0.2783975977765744,5,-1.0708651265632152,0.9404921750276761,-0.31988139983764796,0.08245691206664267,0.8567938004790243
China,1986,Winter,-0.5214789343446814,5,-1.6001625177244376,1.0017288082177895,-0.994138649007145,0.12711663012584015,0.8615186731001252
China,1986,Spring,-0.2781786749049104,5,-0.9582260936131182,0.6785997902430935,-0.7119673746619066,0.23790682094062088,0.7199930630529456
China,1986,Summer,-0.36269408322116237,5,-1.1197734023430426,0.7283310081286242,-0.9076696572993846,0.31013033220617925,0.6321733194590597
China,1986,Autumn,-0.4944139447279069,5,-1.7526558857400087,1.4323784421947656,-0.5311860537444484,0.35148471274842386,0.8926659452912643
China,1987,Winter,0.3783727597232353,5,0.2962688277450563,-0.6274147849459168,-0.7411944199248794,0.39793751176408815,1.3114370940859947
China,1987,Spring,-0.15244632969955857,5,-0.4608142840333437,1.269150106644421,-0.6676532574847761,0.22290718436676077,1.4124788152979872
China,1987,Summer,-0.4597506818601359,5,-0.7539193036998307,1.3897507678504162,-0.9467191169302799,-0.02249913687611706,0.8141349160559642
China,1987,Autumn,0.11822931404208843,5,0.6681439946168395,1.35227255675524,-0.33604683525496415,-0.302296995538594,1.913618963142401
China,1988,Winter,0.12883498087814407,5,0.23551653219732321,0.6517240367636479,-0.6241350793936281,-0.24435318645213003,1.928870674802803
China,1988,Spring,-0.6419785513653687,5,-1.0136132980734844,2.219388185674703,-0.7243890052546181,-0.05231234294444877,0.7998100751204102
China,1988,Summer,-0.12259406672692637,5,-0.07063962080354991,-0.11083606418246943,-0.899914595191753,0.12193526350856412,0.1248125546696376
China,1988,Autumn,0.03604198351528777,5,-0.780206926557984,-0.8760959058299941,-0.5017685482855846,0.30629162233982843,0.2797978642501849
China,1989,Winter,0.16515247072945266,5,-0.18112869505100734,-0.3947755656258298,-0.27049875693814324,0.5486829866078602,0.3339312534027239
China,1989,Spring,-0.11667215762870756,5,-1.178707812308595,-0.1857288485681724,-0.641075482819692,0.5561259974410167,0.49456766097556015
China,1989,Summer,-0.5156492325545767,5,-1.06884343591644,1.648354577206469,-0.768984679643167,0.4164473954389584,0.4914891345542341
China,1989,Autumn,-0.14341560092866468,5,-0.7332967693770336,0.08138672378434626,-0.4705280968140402,0.1992209230822864,0.3689126622498103
China,1990,Winter,0.24539806626631178,5,0.359258941623209,-0.341973754268959,0.39525074919763337,0.19487162066316333,-0.06436473442140583
China,1990,Spring,-0.31148974135616103,5,-0.7819461434812381,0.5375878403977781,-0.2622235185111235,0.12116284965711902,-0.09685405404778444
China,1990,Summer,-0.04550244213718193,5,-0.7232388248503118,-0.30316997751615865,-0.45102151200080126,-0.022378489964871528,0.6659566386139163
China,1990,Autumn,0.2748417749124211,5,0.51526937770137,-0.7399378632185285,0.0037737938349647984,-0.1847908803319338,0.3000187201391757
