year,zip_name,relative_path,station_entries
1981,china_isd_lite_1981.zip,pre_2000_archives/china_isd_lite_1981.zip,1109
1982,china_isd_lite_1982.zip,pre_2000_archives/china_isd_lite_1982.zip,1100
1983,china_isd_lite_1983.zip,pre_2000_archives/china_isd_lite_1983.zip,1074
1984,china_isd_lite_1984.zip,pre_2000_archives/china_isd_lite_1984.zip,1073
1985,china_isd_lite_1985.zip,pre_2000_archives/china_isd_lite_1985.zip,961
1986,china_isd_lite_1986.zip,pre_2000_archives/china_isd_lite_1986.zip,768
1987,china_isd_lite_1987.zip,pre_2000_archives/china_isd_lite_1987.zip,762
1988,china_isd_lite_1988.zip,pre_2000_archives/china_isd_lite_1988.zip,766
1989,china_isd_lite_1989.zip,pre_2000_archives/china_isd_lite_1989.zip,791
1990,china_isd_lite_1990.zip,pre_2000_archives/china_isd_lite_1990.zip,696
1991,china_isd_lite_1991.zip,pre_2000_archives/china_isd_lite_1991.zip,691
1992,china_isd_lite_1992.zip,pre_2000_archives/china_isd_lite_1992.zip,690
1993,china_isd_lite_1993.zip,pre_2000_archives/china_isd_lite_1993.zip,693
1994,china_isd_lite_1994.zip,pre_2000_archives/china_isd_lite_1994.zip,686
1995,china_isd_lite_1995.zip,pre_2000_archives/china_isd_lite_1995.zip,682
1996,china_isd_lite_1996.zip,pre_2000_archives/china_isd_lite_1996.zip,678
1997,china_isd_lite_1997.zip,pre_2000_archives/china_isd_lite_1997.zip,670
1998,china_isd_lite_1998.zip,pre_2000_archives/china_isd_lite_1998.zip,652
1999,china_isd_lite_1999.zip,pre_2000_archives/china_isd_lite_1999.zip,642
2000,china_isd_lite_2000.zip,china_isd_lite_2000.zip,603
2001,china_isd_lite_2001.zip,china_isd_lite_2001.zip,877
2002,china_isd_lite_2002.zip,china_isd_lite_2002.zip,935
2003,china_isd_lite_2003.zip,china_isd_lite_2003.zip,464
2004,china_isd_lite_2004.zip,china_isd_lite_2004.zip,461
2005,china_isd_lite_2005.zip,china_isd_lite_2005.zip,435
2006,china_isd_lite_2006.zip,china_isd_lite_2006.zip,416
2007,china_isd_lite_2007.zip,china_isd_lite_2007.zip,436
2008,china_isd_lite_2008.zip,china_isd_lite_2008.zip,411
2009,china_isd_lite_2009.zip,china_isd_lite_2009.zip,414
2010,china_isd_lite_2010.zip,china_isd_lite_2010.zip,478
2011,china_isd_lite_2011.zip,china_isd_lite_2011.zip,413
2012,china_isd_lite_2012.zip,china_isd_lite_2012.zip,418
2013,china_isd_lite_2013.zip,china_isd_lite_2013.zip,415
2014,china_isd_lite_2014.zip,china_isd_lite_2014.zip,417
2015,china_isd_lite_2015.zip,china_isd_lite_2015.zip,412
2016,china_isd_lite_2016.zip,china_isd_lite_2016.zip,415
2017,china_isd_lite_2017.zip,china_isd_lite_2017.zip,412
2018,china_isd_lite_2018.zip,china_isd_lite_2018.zip,416
2019,china_isd_lite_2019.zip,china_isd_lite_2019.zip,412
2020,china_isd_lite_2020.zip,china_isd_lite_2020.zip,415
2021,china_isd_lite_2021.zip,china_isd_lite_2021.zip,411
2022,china_isd_lite_2022.zip,china_isd_lite_2022.zip,411
2023,china_isd_lite_2023.zip,china_isd_lite_2023.zip,411
2024,china_isd_lite_2024.zip,china_isd_lite_2024.zip,401
2025,china_isd_lite_2025_through_08.24.zip,china_isd_lite_2025_through_08.24.zip,397
