station_id,USAF,STATION NAME,CTRY,ICAO,lat,lon,elev_m,province,province_source,region,grid_id,grid_lat,grid_lon
450010-99999,450010,CHEUNG CHAU,CH,VHCH,22.2,114.017,79.0,Hong Kong,coordinate_hk_fallback,South,21.25_113.75,21.25,113.75
450030-99999,450030,TAI-O,CH,,22.25,113.85,76.0,Hong Kong,coordinate_hk_fallback,South,21.25_113.75,21.25,113.75
450040-99999,450040,KOWLOON,CH,,22.312,114.173,66.4,Hong Kong,coordinate_hk_fallback,South,21.25_113.75,21.25,113.75
450050-99999,450050,HONG KONG OBSERVATORY,CH,,22.3,114.167,62.0,Hong Kong,coordinate_hk_fallback,South,21.25_113.75,21.25,113.75
450060-99999,450060,GREEN ISLAND,CH,,22.283,114.117,76.0,Hong Kong,coordinate_hk_fallback,South,21.25_113.75,21.25,113.75
450070-99999,450070,HONG KONG INTL,HK,VHHH,22.309,113.915,8.5,Hong Kong,isd_country_code,South,21.25_113.75,21.25,113.75
450100-99999,450100,TATE'S CAIRN,CH,,22.367,114.217,576.0,Hong Kong,coordinate_hk_fallback,South,21.25_113.75,21.25,113.75
450110-99999,450110,MACAU INTL,MC,VMMC,22.15,113.592,6.1,Macau,isd_country_code,South,21.25_113.75,21.25,113.75
450200-99999,450200,MACAO/FORTALEZA DO MONTE,MC,,22.183,113.533,59.0,Macau,isd_country_code,South,21.25_113.75,21.25,113.75
450320-99999,450320,TA KWU LING,CH,,22.533,114.15,13.0,Hong Kong,coordinate_hk_fallback,South,23.75_113.75,23.75,113.75
450330-99999,450330,KAT O,CH,,22.533,114.3,10.0,Hong Kong,coordinate_hk_fallback,South,23.75_113.75,23.75,113.75
450340-99999,450340,TAI MEI TUK,CH,,22.483,114.233,53.0,Hong Kong,coordinate_hk_fallback,South,21.25_113.75,21.25,113.75
450350-99999,450350,LAU FAU SHAN,CH,,22.467,113.983,35.0,Hong Kong,coordinate_hk_fallback,South,21.25_113.75,21.25,113.75
450390-99999,450390,SHA TIN,CH,,22.4,114.2,8.0,Hong Kong,coordinate_hk_fallback,South,21.25_113.75,21.25,113.75
450440-99999,450440,CHEUNG CHAU,CH,,22.2,114.017,79.0,Hong Kong,coordinate_hk_fallback,South,21.25_113.75,21.25,113.75
450450-99999,450450,WAGLAN ISLAND,CH,,22.183,114.3,60.0,Hong Kong,coordinate_hk_fallback,South,21.25_113.75,21.25,113.75
466860-99999,466860,CHIANG KAI SHEK INTL,TW,RCTP,25.078,121.233,32.6,Taiwan,isd_country_code,South,26.25_121.25,26.25,121.25
466888-99999,466888,BEIGAN,TW,RCMT,26.224,120.003,12.5,Taiwan,isd_country_code,South,26.25_121.25,26.25,121.25
466890-99999,466890,NANGAN,TW,RCFG,26.16,119.958,68.0,Taiwan,isd_country_code,South,26.25_118.75,26.25,118.75
466920-99999,466920,TAIBEI,TW,,25.033,121.517,9.0,Taiwan,isd_country_code,South,26.25_121.25,26.25,121.25
466940-99999,466940,CHILUNG,TW,,25.15,121.8,3.0,Taiwan,isd_country_code,South,26.25_121.25,26.25,121.25
466950-99999,466950,PENGJIA YU(=589740),TW,,25.633,122.067,102.0,Taiwan,isd_country_code,South,26.25_121.25,26.25,121.25
466960-99999,466960,SUNGSHAN,TW,RCSS,25.069,121.552,5.5,Taiwan,isd_country_code,South,26.25_121.25,26.25,121.25
466970-99999,466970,TAOYUAN,TW,RCGM,25.056,121.243,46.0,Taiwan,isd_country_code,South,26.25_121.25,26.25,121.25
466990-99999,466990,HUA-LIEN CITY,TW,,23.983,121.6,19.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467060-99999,467060,SUAO MET STATION,TW,,24.6,121.85,3.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467080-99999,467080,ILAN CITY,TW,,24.75,121.783,7.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467300-99999,467300,DONGSHI,TW,RCNO,23.267,119.667,45.0,Taiwan,isd_country_code,South,23.75_118.75,23.75,118.75
467340-99999,467340,MAGONG,TW,RCQC,23.569,119.628,31.4,Taiwan,isd_country_code,South,23.75_118.75,23.75,118.75
467350-99999,467350,PENGHU ISLANDS,TW,,23.5,119.5,21.0,Taiwan,isd_country_code,South,23.75_118.75,23.75,118.75
467360-99999,467360,SHANG YI,TW,RCBS,24.428,118.359,28.3,Taiwan,isd_country_code,South,23.75_118.75,23.75,118.75
467373-99999,467373,BAKUAI/PA KUEI,TW,,24.933,121.3,141.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467380-99999,467380,PA KUEI/BAKUAI,TW,RCUK,24.933,121.3,141.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467400-99999,467400,KAOHSIUNG INTL,TW,RCKH,22.577,120.35,7.9,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467403-99999,467403,FENGNIN,TW,RCFN,22.755,121.102,43.6,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467410-99999,467410,TAINAN (=593580),TW,,23.0,120.217,14.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467425-99999,467425,BOGUS TAIWANESE,TW,RCLT,,,,Taiwan,isd_country_code,Unmapped,nan_nan,,
467430-99999,467430,TAINAN,TW,RCNN,22.95,120.206,19.2,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467440-99999,467440,KAOHSIUNG,TW,,22.633,120.283,29.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467450-99999,467450,GANGSHAN,TW,RCAY,22.783,120.262,10.4,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467460-99999,467460,CHIAYI,TW,RCKU,23.462,120.393,25.9,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467480-99999,467480,CHIAYI,TW,,23.5,120.45,28.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467490-99999,467490,TAICHUNG (=591580),TW,,24.15,120.683,78.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467500-99999,467500,PINGTUNG SOUTH,TW,RCDC,22.672,120.462,23.8,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467510-99999,467510,TAICHUNG,TW,RCLG,24.186,120.654,115.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467520-99999,467520,HENGCHUN,TW,RCKW,22.041,120.73,14.0,Taiwan,isd_country_code,South,21.25_121.25,21.25,121.25
467530-99999,467530,MOUNT ALISAN,TW,,23.517,120.8,2406.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467540-99999,467540,DAWU,TW,,22.35,120.9,8.0,Taiwan,isd_country_code,South,21.25_121.25,21.25,121.25
467550-99999,467550,MOUNT MORRISON,TW,,23.483,120.95,3850.0,Taiwan,isd_country_code,Qinghai-Tibet,23.75_121.25,23.75,121.25
467560-99999,467560,HSINCHU,TW,RCPO,24.818,120.939,7.9,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467570-99999,467570,HSINCHU CITY,TW,,24.833,120.0,27.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467580-99999,467580,PINGTUNG NORTH,TW,RCSQ,22.7,120.482,29.6,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467590-99999,467590,HENGCHUN (=595590),TW,,22.0,120.75,24.0,Taiwan,isd_country_code,South,21.25_121.25,21.25,121.25
467600-99999,467600,JHIHHANG,TW,RCQS,22.793,121.182,36.9,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467610-99999,467610,CHENG-KUNG,TW,,23.1,121.367,37.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467615-99999,467615,BOGUS TAIWANESE,TW,RCTM,,,,Taiwan,isd_country_code,Unmapped,nan_nan,,
467620-99999,467620,LANYU,TW,RCLY,22.029,121.534,13.1,Taiwan,isd_country_code,South,21.25_121.25,21.25,121.25
467630-99999,467630,HUALIEN,TW,RCYU,24.023,121.618,15.8,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467640-99999,467640,ILAN,TW,RCMS,24.75,121.767,9.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467650-99999,467650,JOYUTANG,TW,,23.883,120.85,1015.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467660-99999,467660,TAIDONG (=595620),TW,,22.75,121.15,10.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467700-99999,467700,CHING CHUAN KANG AB,TW,RCMQ,24.265,120.621,202.1,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467720-99999,467720,CHIA TUNG,TW,RCFS,22.417,120.55,20.0,Taiwan,isd_country_code,South,21.25_121.25,21.25,121.25
467770-99999,467770,WU-CHI OBSERVATORY,TW,,24.25,120.517,5.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
467800-99999,467800,LU-TAO,TW,,22.683,121.5,280.0,Taiwan,isd_country_code,South,23.75_121.25,23.75,121.25
468100-99999,468100,DONGSHA,TW,RCLM,20.667,116.717,6.0,Taiwan,isd_country_code,South,21.25_116.25,21.25,116.25
468110-99999,468110,PRATAS ISLAND,TW,,20.717,116.717,3.0,Taiwan,isd_country_code,South,21.25_116.25,21.25,116.25
469020-99999,469020,NENSHA ISL(=599970),TW,,10.383,114.367,5.0,Taiwan,isd_country_code,South,11.25_113.75,11.25,113.75
469999-99999,469999,BOGUS TAIWANESE,TW,RCKK,0.0,0.0,-999.0,Taiwan,isd_country_code,Southwest,1.25_1.25,1.25,1.25
501360-99999,501360,MOHE,CH,,52.967,122.533,438.0,Heilongjiang,station_table_pdf,Northeast,53.75_123.75,53.75,123.75
502460-99999,502460,TA-HE,CH,,52.333,124.8,465.0,Heilongjiang,station_table_pdf,Northeast,51.25_123.75,51.25,123.75
503490-99999,503490,JIU-HAI-LAI,CH,,51.133,124.05,610.0,Heilongjiang,station_table_pdf,Northeast,51.25_123.75,51.25,123.75
503530-99999,503530,HUMA,CH,,51.733,126.633,175.6,Heilongjiang,station_table_pdf,Northeast,51.25_126.25,51.25,126.25
504250-99999,504250,SAN-HE,CH,,50.5,120.067,671.0,Inner Mongolia,station_table_pdf,Northeast,51.25_121.25,51.25,121.25
504340-99999,504340,TULIHE,CH,,50.45,121.7,733.0,Inner Mongolia,station_table_pdf,Northeast,51.25_121.25,51.25,121.25
504420-99999,504420,XIAO-YANG-QI,CH,,50.8,124.283,549.0,Heilongjiang,station_table_pdf,Northeast,51.25_123.75,51.25,123.75
504680-99999,504680,AIHUI,CH,,50.25,127.45,166.0,Heilongjiang,station_table_pdf,Northeast,51.25_126.25,51.25,126.25
505140-99999,505140,MAN-ZHOU-LI,CH,,49.55,117.467,710.0,Inner Mongolia,station_table_pdf,North,48.75_116.25,48.75,116.25
505270-99999,505270,HAILAR,CH,,49.25,119.7,650.0,Inner Mongolia,station_table_pdf,Northeast,48.75_118.75,48.75,118.75
505280-99999,505280,HAI-LAR/TUNGSHAN,CH,ZYLA,49.217,119.8,488.0,Inner Mongolia,province_geojson,Northeast,48.75_118.75,48.75,118.75
505480-99999,505480,XIAO'ERGOU,CH,,49.2,123.717,288.0,Inner Mongolia,station_table_pdf,Northeast,48.75_123.75,48.75,123.75
505570-99999,505570,NENJIANG,CH,,49.167,125.233,243.0,Heilongjiang,station_table_pdf,Northeast,48.75_126.25,48.75,126.25
505640-99999,505640,SUNWU,CH,,49.433,127.35,235.0,Heilongjiang,station_table_pdf,Northeast,48.75_126.25,48.75,126.25
506030-99999,506030,XIN BARAG YOUQI,CH,,48.683,116.817,556.7,Inner Mongolia,station_table_pdf,North,48.75_116.25,48.75,116.25
