station_id,USAF,STATION NAME,CTRY,ICAO,lat,lon,elev_m,province,province_source,region,grid_id,grid_lat,grid_lon,active_station_months
599850-99999,599850,SANHU DAO,CH,,16.533,111.617,5.0,Unmapped,unmapped,South,16.25_111.25,16.25,111.25,535
599810-99999,599810,XISHA DAO,CH,,16.833,112.333,5.0,Unmapped,unmapped,South,16.25_111.25,16.25,111.25,535
589740-99999,589740,PENGJIA YU,CH,,25.633,122.067,102.0,Unmapped,unmapped,South,26.25_121.25,26.25,121.25,532
597920-99999,597920,DONGSHA DAO,CH,,20.667,116.717,6.0,Unmapped,unmapped,South,21.25_116.25,21.25,116.25,516
599970-99999,599970,NANSHA DAO,CH,,10.383,114.367,5.0,Unmapped,unmapped,South,11.25_113.75,11.25,113.75,374
545870-99999,545870,HAIYANG DAO,CH,,39.05,123.217,-999.9,Unmapped,unmapped,North,38.75_123.75,38.75,123.75,290
588530-99999,588530,TAISHAN,CH,,27.0,120.7,107.0,Unmapped,unmapped,South,26.25_121.25,26.25,121.25,144
587650-99999,587650,NANJI SHAN,CH,,27.467,121.05,2.0,Unmapped,unmapped,South,26.25_121.25,26.25,121.25,137
599950-99999,599950,YONGSHUJIAO,CH,,9.533,112.883,6.0,Unmapped,unmapped,South,8.75_113.75,8.75,113.75,133
593450-99999,593450,MAGONG,CH,,23.517,119.567,22.0,Unmapped,unmapped,South,23.75_118.75,23.75,118.75,103
546460-99999,546460,MOORED VESSEL,CH,,38.35,119.683,6.0,Unmapped,unmapped,North,38.75_118.75,38.75,118.75,84
546430-99999,546430,MOORED VESSEL,CH,,38.967,119.95,6.0,Unmapped,unmapped,North,38.75_118.75,38.75,118.75,44
546800-99999,546800,BOGUS CHINESE,CH,,,,,Unmapped,unmapped,Unmapped,nan_nan,,,35
548680-99999,548680,QIAN-LI ISLAND,CH,,36.267,121.383,18.0,Unmapped,unmapped,North,36.25_121.25,36.25,121.25,32
589450-99999,589450,BOGUS CHINESE,CH,,,,,Unmapped,unmapped,Unmapped,nan_nan,,,31
597520-99999,597520,BOGUS CHINESE,CH,,,,,Unmapped,unmapped,Unmapped,nan_nan,,,24
546350-99999,546350,BOGUS CHINESE,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,21
587640-99999,587640,DONG-GUA ISLAND,CH,,27.633,121.05,18.0,Unmapped,unmapped,South,28.75_121.25,28.75,121.25,17
547900-99999,547900,BOGUS CHINESE,CH,,,,,Unmapped,unmapped,Unmapped,nan_nan,,,13
578230-99999,578230,DAO-PING (?),CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
570680-99999,570680,BOGUS CHINESE,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
578130-99999,578130,YANG-CHANG (?),CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
577260-99999,577260,BOGUS CHINESE,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
577250-99999,577250,,,,,,,Unmapped,unmapped,Unmapped,nan_nan,,,0
579830-99999,579830,NAME UNKNOWN,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
578470-99999,578470,,,,,,,Unmapped,unmapped,Unmapped,nan_nan,,,0
579010-99999,579010,HUA-GONG,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
579580-99999,579580,NAME UNKNOWN,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
577060-99999,577060,BOGUS CHINESE,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
580830-99999,580830,BOGUS CHINESE,CH,,,,,Unmapped,unmapped,Unmapped,nan_nan,,,0
581930-99999,581930,NAME/LOCATION UNKN,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
582110-99999,582110,YING-SHANG,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
582310-99999,582310,JIA-SHAN,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
582660-99999,582660,BOGUS CHINESE,CH,,,,,Unmapped,unmapped,Unmapped,nan_nan,,,0
577150-99999,577150,BOGUS CHINESE,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
576760-99999,576760,BOGUS CHINESE,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
576770-99999,576770,BOGUS CHINESE,CH,,,,,Unmapped,unmapped,Unmapped,nan_nan,,,0
572070-99999,572070,YAN-MEN-BA (?),CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
572210-99999,572210,YU-SHU-MTHO (?),CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
572550-99999,572550,BOGUS CHINESE,CH,,0.0,0.0,-999.0,Unmapped,unmapped,Southwest,1.25_1.25,1.25,1.25,0
